abcdefghijklmnopqrstuvwxyz	SL
조국통일학생추진위원장	NNG
조선무정부주의자총연맹	NNP
조선문화건설중앙협의회	NNP
조선민족해방운동자동맹	NNP
조선민주주의인민공화국	NNP
천주교정의구현전국연합	NNP
카톨릭매스컴선교위원회	NNP
컴퓨터프로그램표준조항	NNG
코린아세틸트란스퍼라제	NNG
태평양전쟁희생자유족회	NNP
특정경제범죄가중처벌법	NNP
한국가톨릭나사업연합회	NNP
한국공연예술진흥협의회	NNP
한국광복운동단체연합회	NNP
한국근대문예비평사연구	NNP
한국근현대민족문학총서	NNP
한국기능미화중앙협의회	NNP
한국농어민후계자연합회	NNP
한국능률협회매니지먼트	NNP
한국대학도서출판협의회	NNP
한국문예학술저작권협회	NNP
한국문화산업진흥위원회	NNP
한국민속종합조사보고서	NNP
한국민족문화대백과사전	NNP
한국바이오벤처기업협회	NNP
한국방송영상산업진흥원	NNP
한국방송프러듀서연합회	NNP
한국소프트웨어산업협회	NNP
한국신문방송편집인협회	NNP
한국아동도서출판협의회	NNP
한국아동복지시설연합회	NNP
한국양돈협동조합연합회	NNP
한국양성평등교육진흥원	NNP
한국여성경영자총연합회	NNP
한국여성노동자회협의회	NNP
한국여성정치문화연구소	NNP
한국예술가곡진흥위원회	NNP
한국자동차공업협동조합	NNP
한국자유민주수호협의회	NNP
한국장애인고용촉진공단	NNP
한국정보통신기술사협회	NNP
한국한국가정법률상담소	NNP
한국환경사회정책연구소	NNP
한국환경정책평가연구원	NNP
copyrights	NNG
가다우라가이운해운사	NNP
가산불교문화연구소장	NNG
강동구종합사회복지관	NNP
강서청소년복지교민회	NNP
경기도과천지구출장소	NNP
경성공립고등보통학교	NNP
고교교육개혁추진실장	NNG
광주여자기독교청년회	NNP
구로지역사회발전센타	NNP
국가과학기술자문회의	NNP
국립중앙청소년수련원	NNP
국제방사선방호위원회	NNP
국제자유평화여성연맹	NNP
국제전기통신위성기구	NNP
남북핵통제공동위원회	NNG
담양세계대나무박람회	NNP
담양세계대나무엑스포	NNP
대구효성카톨릭대학교	NNP
대성효이세부모신문대	NNP
대한무역투자진흥공사	NNP
대한여자기독교청년회	NNP
대한전몰군경미망인회	NNP
대한주택건설사업협회	NNP
대한지역사회영양학회	NNP
독립동티모르혁명전선	NNP
동경여자고등사범학교	NNP
동부지역보건의료인회	NNP
동아시아문학사비교론	NNP
동아주택할부금융사장	NNG
디지털커뮤니케이션사	NNP
라오민족해방전선연합	NNP
라오스인민민주공화국	NNP
레이저디스크플레이어	NNG
마이크로소프트코리아	NNP
매스커스터마이제이션	NNG
메리트커뮤니케이션스	NNP
미국여자프로골프협회	NNP
백자양각당초문표현병	NNP
범부안군민대책위원회	NNP
베데스다장애인선교회	NNP
부산심장병환아상담소	NNP
부산아시아드주경기장	NNP
북조선임시인민위원회	NNP
사이타마월드컵경기장	NNP
서울기계공업고등학교	NNP
서울시립청소년사업관	NNP
서울여자기독교청년회	NNP
서울청소년지도육성회	NNP
서울출입국관리사무소	NNP
서울택시운송사업조합	NNP
서초강남교육시민모임	NNP
석주선기념민속박물관	NNP
세계기독교교회협의회	NNP
스트라스클라이드대학	NNP
스트랫퍼드어폰에이번	NNP
시즈오카월드컵경기장	NNP
신간표제공자가어구해	NNG
아미노그라이코사이드	NNG
아세아여성신학교육원	NNP
아세틸코린에스테라제	NNG
아시아여성신학교육원	NNP
아시아여성인권위원회	NNP
아시아정치경제연구소	NNP
아시아종교인평화회의	NNP
아시안월스트리트저널	NNP
안산외국인노동자센터	NNP
영남노동운동연구소장	NNG
요코하마월드컵경기장	NNP
우우우우우아아아아아	IC
울산기독교교회협의회	NNP
원광장애인종합복지관	NNP
월스트리트컨설팅그룹	NNP
이슬람혁명최고평의회	NNP
이화여자대학교출판부	NNP
인도차이나식민지연맹	NNP
일본노동조합총연합회	NNG
일본여자프로골프협회	NNG
일본월드컵조직위원회	NNP
일본전자공업진흥협회	NNP
재가실행부녀지자급손	NNG
재일본조선인총연합회	NNP
재화와이대한인국민회	NNP
전국금융노동조합연맹	NNP
전국민족민주운동연합	NNP
전국민주동조합총연맹	NNP
전국언론노동조합연맹	NNP
전국통신노동조합연맹	NNP
전국한의대교수협의회	NNP
전국한의대학생연합회	NNP
전국한의대학생회연합	NNP
전북기독교교회협의회	NNP
전신일학교교사친목회	NNP
정읍군민란시여항청요	NNP
조선기독청년회연합회	NNP
조선문학예술인총동맹	NNP
조선민족해방투쟁동맹	NNP
중국영화발행광영공사	NNP
지역사회장기관리센타	NNG
캄보디아지뢰제거쎈터	NNP
컴퓨터프로그램보호법	NNG
코오롱스포츠정보센터	NNP
특정경제범죄가중처벌	NNG
포도동자문단직금대란	NNG
푸르덴셜생명보험회사	NNP
한가람역사문화연구소	NNP
한광공노운수유한공사	NNP
한국가정법률상담소장	NNG
한국가톨릭미술가협회	NNP
한국간행물윤리위원회	NNP
한국공연예술정보센터	NNP
한국과학기술출판협회	NNP
한국교원단체총연합회	NNP
한국국가공단관리협회	NNP
한국국제기아대책기구	NNP
한국국제이해교육학회	NNP
한국근대문학사상연구	NNP
한국근대미술연구소장	NNG
한국기독교교단장회의	NNP
한국기독교교회협의회	NNP
한국기독교문화연구소	NNP
한국대일전선통일동맹	NNP
한국대학총학생회연합	NNP
한국문화예술진흥원장	NNG
한국민물고기보존협회	NNP
한국민족운동사연구회	NNP
한국복합운송주선협회	NNP
한국불교청년실업인회	NNP
한국빈곤문제연구소장	NNG
한국산업기술진흥협회	NNP
한국산업인력관리공단	NNP
한국선주협회신임회장	NNG
한국소비자생활교육원	NNP
한국소프트웨어진흥원	NNP
한국수출산업관리공단	NNP
한국슈퍼마켓협동조합	NNP
한국시나리오작가협회	NNP
한국아나뱁티스트센터	NNP
한국아마추어무선연맹	NNP
한국아스텐엔지니어링	NNP
한국여성노동자협의회	NNP
한국여성신학자협의회	NNP
한국역사문화지리학회	NNP
한국예술평론가협의회	NNP
한국원자력안전기술원	NNP
한국월드컵조직위원회	NNP
한국음주문화연구센터	NNP
한국의과대학장협의회	NNP
한국자연미용법연구회	NNP
한국전자산업환경협회	NNP
한국정신문화연구원장	NNG
한국종교연합선도기구	NNP
한국종합기술개발공사	NNP
한국지방행정연구원장	NNG
한국지적소유권학회장	NNG
한국천주교중앙협의회	NNP
한국출판마케팅연구소	NNP
한국출판영업인협의회	NNP
한국카톨릭연극인협회	NNP
한국통신사업자연합회	NNP
한국파이프오르간협회	NNP
한국품질환경인정협회	NNP
한국품질환경인증협회	NNP
한국프랜차이즈교육원	NNP
한국프러듀서연합회의	NNP
한국현대문학사상사론	NNP
한미상호방위원조협정	NNP
한미연례안보협의회의	NNP
한반도에너지개발기구	NNP
향정신성의약품관리법	NNG
현대자동차산업연구소	NNP
흑룡강조선민족출판사	NNP
copyright	NNG
감마아미노부티르산	NNG
감마아미노브티르산	NNG
강동종합사회복지관	NNP
강진청자자료박물관	NNP
건국실천요원양성소	NNP
경기도립과천도서관	NNP
경기도문화예술회관	NNP
경기지역사회연구소	NNP
경산지역발전연구소	NNP
경인지방환경관리청	NNP
계원조형예술전문대	NNP
고려민주연방공화국	NNP
공립수원고등여학교	NNP
과천외국어고등학교	NNP
괴테전집편찬위원회	NNP
구례군농업기술센터	NNP
구루믈버서난달처럼	NNP
국가경제무역위원회	NNP
국가보위입법회의법	NNG
국립극장예술진흥회	NNP
국립문화재연구소장	NNG
국립민속역사박물관	NNP
국립수의과학검역원	NNP
국립인간게놈연구소	NNP
국립인천공항검역소	NNP
국립해양유물전시관	NNP
국일증권경제연구소	NNP
국제교회성장연구원	NNP
국제대학스포츠연맹	NNP
국제생명윤리위원회	NNP
국제식품규격위원회	NNP
국제영화평론가협회	NNP
국제전기기술위원회	NNP
국제전략문제연구소	NNP
국제전략화해연구소	NNP
국제증권거래소연맹	NNP
국제필름보관소연맹	NNP
글루코코르티코이드	NNG
기독교대한성결교회	NNP
김영한국대학편입사	NNP
김해지역발전연구원	NNP
난파영필하모니악단	NNP
남경로구당공사지인	NNP
남북경협추진위원회	NNP
내일신문성교육센터	NNP
노스캐롤라이나대학	NNP
뉴사우스웨일스대학	NNP
뉴욕영화평론가협회	NNP
다보스국제경제포럼	NNP
대구전시컨벤션센터	NNP
대방광불화엄불전도	NNP
대우파이낸스컨설팅	NNP
대한독립촉성국민회	NNP
대한불교감로심장회	NNP
대한신경정신의학회	NNP
대한전몰군경유족회	NNP
대한주부클럽연합회	NNP
대한지방행정공제회	NNP
대한해외참전전우회	NNP
대한화장품공업협회	NNP
데이터베이스사이트	NNG
데일리잉글리쉬닷컴	NNG
도쿄국제도서전시회	NNP
독일민주주의공화국	NNP
독일영화평론가협회	NNP
동남아시아국가연합	NNP
동남아중앙은행기구	NNP
동부시립아동상담소	NNP
동아시아증권거래연	NNP
동일건축설계사무소	NNP
동작종합사회복지관	NNP
두만강지역개발회사	NNP
듀산베영화스튜디오	NNP
로렌스방사능연구소	NNP
로스알라모스연구소	NNP
로스앤젤레스경찰국	NNP
로스앤젤레스타임스	NNP
롯데월드아이스링크	NNP
루랄텔레폰서비스사	NNP
루트비히스부르크대	NNP
마이크로프로그래밍	NNG
마이크론테크놀러지	NNP
마이크론테크놀로지	NNP
말레이연합국민조직	NNP
메트로미도파백화점	NNP
메트로폴리탄미술관	NNP
목암생명공학연구소	NNP
무구정광대다라니경	NNP
미네소타뉴스평의회	NNP
미네소타신문평의회	NNP
미야기월드컵경기장	NNP
민족문화대백과사전	NNP
민족사회주의민주당	NNP
백산한정밀유한회사	NNP
베트남전진실위원회	NNP
보리방송모니터모임	NNP
볼보건설기계코리아	NNP
볼보자동차주식회사	NNP
부산고속버스터미널	NNP
부산불교인권위원회	NNP
부산지역정책연구소	NNP
부천지역노조협의회	NNP
북한민주화네트워크	NNP
브리하드요가랑기니	NNP
비민주법률개폐특위	NNG
뻬뜨로빠블로프스끼	NNP
사우스캐롤라이나대	NNP
사우스캐롤라이나주	NNP
상암동월드컵경기장	NNP
상트페테르부르크대	NNP
샘물호스피스선교회	NNP
서울고속버스터미날	NNP
서울기독교청년회관	NNP
서울사회과학연구소	NNP
서울시립노인요양원	NNP
서울시정개발연구원	NNP
서울신라로타리클럽	NNP
서울애니메이션센터	NNP
서울여자기독청년회	NNP
서울외국어대학원대	NNP
서울지방노동위원회	NNP
서울지방중소기업청	NNP
서울형사지법구치감	NNP
석암베테스타요양원	NNP
선마이크로시스템스	NNP
선마이크로시스템즈	NNP
세계지적소유권기구	NNP
세계지적재산권기구	NNP
세종대왕기념사업회	NNP
수금지화목토천해명	NNG
수원청소년문화센터	NNP
수철화상방가보월탑	NNP
스탠다드차타드은행	NNP
스탠더드차타드은행	NNP
신한맥쿼리금융자문	NNP
씨앤씨엔터프라이즈	NNP
씨제이엔터테인먼트	NNP
아랍에미리트연합국	NNP
아리스토텔레스주의	NNG
아메리칸익스프레스	NNP
아시아감리교협의회	NNP
아시아기독교협의회	NNP
아시아영화진흥기구	NNP
아시아올림픽평의회	NNP
아태경제사회이사회	NNP
아태안보협력이사회	NNP
안양지역정책연구소	NNP
에듀토피아중앙교육	NNP
에이스일렉트로닉스	NNP
엔바이오테크놀러지	NNP
여성한국사회연구회	NNP
여의도순복음교회당	NNP
연수진단기관협의회	NNP
영국벤처캐피털협회	NNP
영남노동운동연구소	NNP
오노에다카사고소네	NNP
오론지오디노라재단	NNP
오사카국제교류센터	NNP
오사카월드컵경기장	NNP
오스트랄로피테시네	NNG
왈레스기념침례병원	NNP
우즈베키스탄공화국	NNP
원록제당불례보경기	NNP
월드컵대구안전본부	NNP
유엔안전보장이사회	NNP
유엔인간개발보고서	NNP
은제제도금여래입상	NNP
인도차이나공산당원	NNG
인천지방해운항만청	NNP
임시방송대책위원회	NNG
자유경제무역지대법	NNG
재뉴욕대한인교민단	NNP
재일조선인총연합회	NNP
전국경제인연합회장	NNG
전국교직원노동조합	NNP
전국노조대표자회의	NNP
전국약대학생협의회	NNP
전국연합진선협의회	NNP
전국주부교실중앙회	NNP
전국지리교사연합회	NNP
전국투자금융협회장	NNG
전국해직교수협의회	NNP
전기전자제어공학과	NNG
전북지역학생협의회	NNP
정의구현전국사제단	NNP
조선건국준비위원회	NNP
조선공산주의혁명당	NNP
조선국립교향악단원	NNG
조선그리스도교련맹	NNP
조선그리스도교연맹	NNP
조선만년보건총회사	NNP
조선봉건사회경제사	NNP
조선영화수출입회사	NNP
조선예술영화촬영소	NNP
조선음악무용연구회	NNG
중동아세아방위기구	NNP
중랑하수처리사업소	NNP
중부독일민족민주당	NNP
지구환경종합대책반	NNG
지리산야생화학습원	NNP
진도군립민속예술단	NNP
진주국도유지사무소	NNP
카네기국제평화재단	NNP
카를후로이덴베르크	NNP
캄보디아인민공화국	NNP
코르티코스테로이드	NNG
크로아티아민주동맹	NNP
테일러메이드코리아	NNP
텍사스인스트루먼츠	NNP
텍사스인스트루먼트	NNP
텔레커뮤니케이션즈	NNP
토리파인스골프클럽	NNP
톨스토이문학박물관	NNP
통일말레이민족기구	NNP
특전전우회제주지회	NNP
특정경제가중처벌법	NNG
파라다이스비치호텔	NNP
파리시립근대미술관	NNP
판통례문삼사좌우윤	NNG
팔레스타인해방기구	NNP
팔비신전배후전호군	NNG
팬코트리조트골프장	NNP
페트로파브로프스크	NNP
평양학생소년예술단	NNP
포스트마르크스주의	NNG
포스트콜로니얼리즘	NNG
포항산업과학연구원	NNP
표준이탈리아어사전	NNP
프러스원애니메이션	NNP
하와이대한인동지회	NNP
하이드록시트립타민	NNG
하카시야자치공화국	NNP
한겨레신문노동조합	NNP
한겨레통일문화재단	NNP
한국가정경영연구소	NNP
한국가정법률상담소	NNP
한국갤럽조사연구소	NNP
한국건설기술인협회	NNP
한국걸스카우트연맹	NNP
한국고용서비스협회	NNP
한국공간환경연구소	NNP
한국공간환경연구회	NNP
한국공예문화진흥원	NNP
한국공익문제연구원	NNP
한국과학기술연구소	NNP
한국과학기술연구원	NNP
한국교육과정평가원	NNP
한국교회사연구소장	NNG
한국교회여성연합회	NNP
한국근대문학사상상	NNP
한국근대민족문학사	NNP
한국근대소설사연구	NNP
한국금융시장연구원	NNP
한국기독교교회협회	NNP
한국기독교총연합회	NNP
한국기독교출판협회	NNP
한국노동조합총연맹	NNP
한국노사발전연구원	NNP
한국대학교육협의회	NNP
한국독립운동사연구	NNP
한국독립운동지혈사	NNP
한국디지털위성방송	NNP
한국로맨스소설협회	NNP
한국문학사상사시론	NNP
한국문화도서출판사	NNP
한국문화사상사시론	NNP
한국문화예술진흥원	NNP
한국문화유산답사회	NNP
한국문화재보호재단	NNP
한국문화정책개발원	NNP
한국바이오벤처협회	NNP
한국벤처캐피탈협회	NNP
한국보건사회연구원	NNP
한국보건산업진흥원	NNP
한국복음주의협의회	NNP
한국복합화물터미털	NNP
한국부녀복지연합회	NNP
한국불교사회교육원	NNP
한국불교종단협의회	NNP
한국불교환경교육원	NNP
한국불교환경연구원	NNP
한국비료공업협회장	NNP
한국비정규노동센터	NNP
한국빈곤문제연구소	NNP
한국사회복지관협회	NNP
한국사회복지사협회	NNP
한국사회복지협의회	NNP
한국산업개발연구원	NNP
한국산업기술평가원	NNP
한국생명공학연구원	NNP
한국서화가인명사전	NNP
한국수상레저연합회	NNP
한국수입자동차협회	NNP
한국식품개발연구원	NNP
한국식품위생연구원	NNP
한국신문윤리위원회	NNP
한국신문편집인협회	NNP
한국심리상담연구소	NNP
한국아동문제연구소	NNP
한국아동문학교육원	NNP
한국아방가르드협회	NNP
한국언론백년사서설	NNP
한국여성경제인협회	NNP
한국여성단체협의회	NNP
한국여성유권자연맹	NNP
한국여성의전화연합	NNP
한국여성정보인협회	NNP
한국여성정치연구소	NNP
한국여신학자협의회	NNP
한국열린교육연구회	NNP
한국영화제작가협회	NNP
한국예술발전협의회	NNP
한국외식산업연구소	NNP
한국위진수당사학회	NNP
한국유권자운동연합	NNP
한국유나이티드제약	NNP
한국음악평론가협회	NNP
한국인삼연초연구소	NNP
한국인터넷기업협회	NNP
한국인터넷정보센터	NNP
한국자동차공업협회	NNP
한국자수문화협의회	NNP
한국장로교총연합회	NNP
한국전업미술가협회	NNP
한국전자산업진흥회	NNP
한국전자통신연구원	NNP
한국전통공예미술관	NNP
한국전통복식연구회	NNP
한국정당정치연구소	NNP
한국정보산업연합회	NNP
한국정신문화연구원	NNP
한국정치발전연구원	NNP
한국정치외교사학회	NNP
한국종교문화연구소	NNP
한국종교인평화회의	NNP
한국중견기업연합회	NNP
한국증권경제연구원	NNP
한국지방행정연구원	NNP
한국지역대학연합회	NNP
한국지질자원연구원	NNP
한국직업능력개발원	NNP
한국철도기술연구원	NNP
한국철학사상연구회	NNP
한국청년구상작가회	NNP
한국청년단체협의회	NNP
한국통신연구개발단	NNP
한국페스티발앙상블	NNP
한국피코노조후원회	NNP
한국현대무용진흥회	NNP
한국현대문학비평사	NNP
한국형사정책연구원	NNP
한국화상가족협의회	NNP
한국환경기술개발원	NNP
한림주부중고등학교	NNP
한만봉산부인과의원	NNP
한민족예술인총연합	NNP
한빛마이크로시스템	NNP
항응아게스트하우스	NNP
행정쇄신실무협의회	NNG
헌국영화제작가협회	NNP
현대H몰패션플러스	NNP
화북조선청년연합회	NNP
히드로옥시암페타민	NNG
히쌔즈더쌔임씽투미	NNG
가평농업기술센터	NNP
각세도천지원리교	NNG
강릉시립교향악단	NNP
강북청소년수련관	NNP
강화청소년수련회	NNP
개구장이어린이방	NNP
거제도포로수용소	NNP
거창대성고등학회	NNP
건축무한육면각체	NNP
검은댕기해오라비	NNG
경기고등보통학교	NNP
경기도과천출장소	NNP
경기도교육위원회	NNP
경기문화예술회관	NNP
경기청년연합회관	NNP
경성고등보통학교	NNP
경성의학전문학교	NNP
경주교육문화회관	NNP
계원예술고등학교	NNP
계원조형예술대학	NNP
고등농림전문학교	NNP
고려독립청년당원	NNG
고려충신조모지묘	NNG
고리원자력발전소	NNP
고양국제꽃박람회	NNP
공새채형수익증권	NNG
과천여자고등학교	NNP
과천정부종합청사	NNP
관봉석조여래좌상	NNG
관음제도본원진경	NNG
광림사회복지재단	NNP
광림세미나하우스	NNP
광명콘크리트공업	NNP
광주국어교사모임	NNP
광주민주화항쟁사	NNP
광주민중항쟁연합	NNP
광주어린이대공원	NNP
광주언론인동우회	NNP
광주여성발전센터	NNP
광주월드컵경기장	NNP
구층목탑찰주본기	NNP
구텐베르크박물관	NNP
국가경쟁력위원회	NNP
국가독점자본주의	NNG
국가안전보위부원	NNG
국가재건최고회의	NNP
국군서울지구병원	NNP
국군수도통합병원	NNP
국립공원관리공단	NNP
국립국악관현악단	NNP
국립국어연구원장	NNG
국립기술이전센터	NNP
국립덕수궁미술관	NNP
국립민속박물관장	NNG
국립수산물검사소	NNP
국립자연사박물관	NNP
국립중앙과학관장	NNG
국립청소년수련원	NNP
국립현대예술화랑	NNP
국민체육진흥공단	NNP
국민체육진흥기금	NNG
국제가족계획연맹	NNP
국제기계노동연맹	NNP
국제민간항공기구	NNP
국제비영리법센터	NNP
국제여자복싱협회	NNP
국제올림픽위원회	NNP
국제웹캐스팅협회	NNP
국제육상경기연맹	NNP
국제적십자사연맹	NNP
국제적십자위원회	NNP
국제항공운송협회	NNP
국제해사위성기구	NNP
국제협동조합연맹	NNP
국제환경보호단체	NNP
국채보상기념공원	NNP
군군신신부부자자	NNG
군소도서국가연합	NNP
궁궐수리도감의궤	NNP
근대한국문학연구	NNP
글로벌라이제이션	NNG
글로컬라이제이션	NNG
글루타민산나토륨	NNG
금관성파사석탑조	NNG
금동관음보살입상	NNP
금호현악사중주단	NNP
기국술성공자사자	NNG
기독교대한감리회	NNP
기독교한국침례회	NNP
김책공업종합대학	NNP
낙동강유역환경청	NNP
남산영화감독협회	NNP
남아프리카공화국	NNP
내몽고청년여행사	NNP
내셔널지오그래픽	NNP
네셔널지오그래픽	NNP
노보고르데예프까	NNP
노스캐롤라이나주	NNP
농수산물유통공사	NNP
뉴사우스웨일스주	NNP
뉴사우스웨일즈주	NNP
니혼게이자이신문	NNP
닐슨미디어리서치	NNP
다비드동맹무곡집	NNP
다음커뮤니케이션	NNP
다이아몬드백스전	NNG
단군강역도만주국	NNP
대관령국사성황사	NNP
대구관광정보센터	NNP
대구문화예술회관	NNP
대구월드컵경기장	NNP
대구효성가톨릭대	NNP
대구효성카톨릭대	NNP
대동상화엄사대전	NNP
대외경제협력담당	NNG
대우일렉트로닉스	NNP
대전월드컵경기장	NNP
대조선독립협회보	NNP
대지건설산업공사	NNP
대한광업진흥공사	NNP
대한그린투자신탁	NNP
대한기독간호사회	NNP
대한무역진흥공사	NNP
대한민국임시정부	NNP
대한방사선의학회	NNP
대한설비건설협회	NNP
대한올림픽위원회	NNP
대한요식업중앙회	NNP
대한의료정보학회	NNP
대한임상약리학회	NNP
대한출판문화협회	NNP
대한치과의사협회	NNP
대한컬링경기연맹	NNP
대한투자신탁증권	NNP
덱스트로메토르판	NNG
돌덧널돌무지무덤	NNP
동남지역관리공단	NNP
동방시수천명지왕	NNP
동부지역의료인회	NNP
동아주택할부금융	NNP
동아회원권거래소	NNP
동양제과주식회사	NNP
동양종합금융증권	NNP
동양투자신탁증권	NNP
동의공업전문대학	NNP
디아코니아자매회	NNP
디오클레티아누스	NNP
디즈니영화제작소	NNP
따르르르르르르르	MAG
라스트내셔널은행	NNP
라오스인민혁명당	NNP
러시아관세위원회	NNP
러시아어업위원회	NNP
럭키화재해상보험	NNP
레프리젠터티브즈	NNP
로렌스국립연구소	NNP
로이드신디케이트	NNP
롤러블레이드스키	NNG
롯데쇼핑컨소시엄	NNP
루슨트테크놀러지	NNP
르네상스서울호텔	NNP
리더스다이제스트	NNP
리젠트퍼시픽그룹	NNP
마리아불임클리닉	NNP
마산상업고등학교	NNP
마산수출자유지역	NNP
마쓰시타전기산업	NNP
마이에셋자산운용	NNP
마이이지메일닷컴	NNP
마이크로소프트사	NNP
마이크로시스템즈	NNP
마이크로프로세서	NNG
마창환경운동연합	NNP
말르이쇼프스까야	NNP
망고수투부델레지	NNP
매디슨스퀘어가든	NNP
매스커뮤니케이션	NNG
맥도널더글러스사	NNP
메가엔터프라이즈	NNP
메즈두나로드나야	NNP
모스크바영화학교	NNP
모음커뮤니케이션	NNP
모짜르트음악기획	NNP
목포문화예술회관	NNP
문학월드컵경기장	NNP
물류시스템공학과	NNG
미국여론연구협회	NNP
미국질병통제센터	NNP
미네소타신문협회	NNP
미래에셋자산운용	NNP
미리내소프트웨어	NNP
미션힐스골프클럽	NNP
미주자유무역기구	NNP
민족정기구현회장	NNG
바스락바스락거리	VV
바스트부바스티스	NNP
바이오셀러레이터	NNG
바이오케미스트리	NNG
바이오테크놀러지	NNG
바이오하이브리드	NNG
바하마관광개발원	NNP
반다르세리베가완	NNP
방제방격규구문경	NNP
범부안군민대책위	NNP
베르나르베르베르	NNP
베트남민주공화국	NNP
벤처캐피털리스트	NNG
보고두호프스까야	NNP
봅호프크라이슬러	NNP
부산기독교청년회	NNP
부산사회체육센터	NNP
부산월드컵경기장	NNP
부에노스아이레스	NNP
부여서동연꽃축제	NNP
부일상호신용금고	NNP
부천여성노동자회	NNP
북대서양조약기구	NNP
북조선인민위원회	NNG
북한올림픽위원회	NNP
북한인권시민연합	NNP
불유지법부곡주무	NNG
불정존승다라니경	NNP
붉은머리오목눈이	NNG
뷰익인비테이셔널	NNP
브릿지북스코리아	NNP
비엔피파리바은행	NNP
사고전서총목제요	NNP
사우스캐롤라이나	NNP
사울교육문화회관	NNP
사카이어트리스트	NNP
사쿠라이쿠니토모	NNP
산스크리트어대학	NNP
살로먼스미스바니	NNP
삼성래미안아파트	NNP
삼성생명공익재단	NNP
삼진통신건설공사	NNP
상암월드컵경기장	NNP
상트페테르부르크	NNP
상하이게놈연구소	NNP
새마을금고연합회	NNP
서울교육문화회관	NNP
서울기독교청년회	NNP
서울남부보훈지청	NNP
서울대학교출판부	NNP
서울미술교과모임	NNP
서울삼전초등학교	NNP
서울서대문경찰서	NNP
서울소방방재본부	NNP
서울시교육위원회	NNP
서울여성노동자회	NNP
서울외곽순환도로	NNP
서울월드컵경기장	NNP
서울자유사회운동	NNP
서울재즈아카데미	NNP
서울지검남부지청	NNP
서울지방변호사회	NNP
서울평화교육센터	NNP
서울형사지방법원	NNP
설악프라자골프장	NNP
성곡학술문화재단	NNP
성공회신학대학교	NNP
성암잡지도서관장	NNG
세계감리교협의회	NNP
세계계관시인연합	NNP
세계대나무박람회	NNP
세계법제정보센터	NNP
세계보건기구문고	NNP
세계식량농업기구	NNP
세계어린이합창단	NNP
세계화추진위원회	NNP
세화음악장학재단	NNP
소련과학아카데미	NNP
소미가숙통감절요	NNG
소비에트작가동맹	NNP
송강문학연구논총	NNP
송탄상호신용금고	NNP
수군덕수군덕거리	VV
수원고등농림학교	NNP
수원시립교향악단	NNP
수원월드컵경기장	NNP
숙명여자고등학교	NNP
순천향대부천병원	NNP
스미소니언박물관	NNP
스베르들로프스크	NNP
스위스그랜드호텔	NNP
스칸디나비아반도	NNP
스타니슬라프스키	NNP
스탈린그라드전쟁	NNP
스토클리벤캠프사	NNP
스트라디바리우스	NNG
스트랄드부르그국	NNP
슬로베니아공화국	NNP
시비에르체프스키	NNP
시소커뮤니케이션	NNP
